image_id,image_path,img_width,img_height
2,../data/hico_20160224_det/images/train2015/HICO_train2015_00000002.jpg,640,480
3,../data/hico_20160224_det/images/train2015/HICO_train2015_00000003.jpg,599,640
7,../data/hico_20160224_det/images/train2015/HICO_train2015_00000007.jpg,640,480
10,../data/hico_20160224_det/images/train2015/HICO_train2015_00000010.jpg,640,427
13,../data/hico_20160224_det/images/train2015/HICO_train2015_00000013.jpg,640,398
16,../data/hico_20160224_det/images/train2015/HICO_train2015_00000016.jpg,640,427
19,../data/hico_20160224_det/images/train2015/HICO_train2015_00000019.jpg,640,427
20,../data/hico_20160224_det/images/train2015/HICO_train2015_00000020.jpg,640,480
23,../data/hico_20160224_det/images/train2015/HICO_train2015_00000023.jpg,451,640
30,../data/hico_20160224_det/images/train2015/HICO_train2015_00000030.jpg,640,414
33,../data/hico_20160224_det/images/train2015/HICO_train2015_00000033.jpg,472,640
36,../data/hico_20160224_det/images/train2015/HICO_train2015_00000036.jpg,640,427
40,../data/hico_20160224_det/images/train2015/HICO_train2015_00000040.jpg,640,480
41,../data/hico_20160224_det/images/train2015/HICO_train2015_00000041.jpg,640,360
42,../data/hico_20160224_det/images/train2015/HICO_train2015_00000042.jpg,480,640
51,../data/hico_20160224_det/images/train2015/HICO_train2015_00000051.jpg,640,426
55,../data/hico_20160224_det/images/train2015/HICO_train2015_00000055.jpg,640,390
57,../data/hico_20160224_det/images/train2015/HICO_train2015_00000057.jpg,640,424
58,../data/hico_20160224_det/images/train2015/HICO_train2015_00000058.jpg,640,480
60,../data/hico_20160224_det/images/train2015/HICO_train2015_00000060.jpg,640,480
62,../data/hico_20160224_det/images/train2015/HICO_train2015_00000062.jpg,640,288
65,../data/hico_20160224_det/images/train2015/HICO_train2015_00000065.jpg,640,480
74,../data/hico_20160224_det/images/train2015/HICO_train2015_00000074.jpg,640,428
80,../data/hico_20160224_det/images/train2015/HICO_train2015_00000080.jpg,640,457
86,../data/hico_20160224_det/images/train2015/HICO_train2015_00000086.jpg,640,426
96,../data/hico_20160224_det/images/train2015/HICO_train2015_00000096.jpg,640,439
98,../data/hico_20160224_det/images/train2015/HICO_train2015_00000098.jpg,480,640
99,../data/hico_20160224_det/images/train2015/HICO_train2015_00000099.jpg,427,640
100,../data/hico_20160224_det/images/train2015/HICO_train2015_00000100.jpg,640,440
106,../data/hico_20160224_det/images/train2015/HICO_train2015_00000106.jpg,640,457
110,../data/hico_20160224_det/images/train2015/HICO_train2015_00000110.jpg,640,480
119,../data/hico_20160224_det/images/train2015/HICO_train2015_00000119.jpg,640,411
126,../data/hico_20160224_det/images/train2015/HICO_train2015_00000126.jpg,427,640
133,../data/hico_20160224_det/images/train2015/HICO_train2015_00000133.jpg,640,427
137,../data/hico_20160224_det/images/train2015/HICO_train2015_00000137.jpg,640,480
138,../data/hico_20160224_det/images/train2015/HICO_train2015_00000138.jpg,640,457
141,../data/hico_20160224_det/images/train2015/HICO_train2015_00000141.jpg,640,395
147,../data/hico_20160224_det/images/train2015/HICO_train2015_00000147.jpg,640,480
148,../data/hico_20160224_det/images/train2015/HICO_train2015_00000148.jpg,635,640
152,../data/hico_20160224_det/images/train2015/HICO_train2015_00000152.jpg,427,640
156,../data/hico_20160224_det/images/train2015/HICO_train2015_00000156.jpg,640,490
160,../data/hico_20160224_det/images/train2015/HICO_train2015_00000160.jpg,192,137
163,../data/hico_20160224_det/images/train2015/HICO_train2015_00000163.jpg,640,506
168,../data/hico_20160224_det/images/train2015/HICO_train2015_00000168.jpg,640,424
169,../data/hico_20160224_det/images/train2015/HICO_train2015_00000169.jpg,614,460
179,../data/hico_20160224_det/images/train2015/HICO_train2015_00000179.jpg,427,640
186,../data/hico_20160224_det/images/train2015/HICO_train2015_00000186.jpg,640,425
189,../data/hico_20160224_det/images/train2015/HICO_train2015_00000189.jpg,640,427
190,../data/hico_20160224_det/images/train2015/HICO_train2015_00000190.jpg,640,480
191,../data/hico_20160224_det/images/train2015/HICO_train2015_00000191.jpg,631,640
195,../data/hico_20160224_det/images/train2015/HICO_train2015_00000195.jpg,479,640
198,../data/hico_20160224_det/images/train2015/HICO_train2015_00000198.jpg,427,640
200,../data/hico_20160224_det/images/train2015/HICO_train2015_00000200.jpg,427,640
201,../data/hico_20160224_det/images/train2015/HICO_train2015_00000201.jpg,640,480
202,../data/hico_20160224_det/images/train2015/HICO_train2015_00000202.jpg,623,640
204,../data/hico_20160224_det/images/train2015/HICO_train2015_00000204.jpg,640,294
210,../data/hico_20160224_det/images/train2015/HICO_train2015_00000210.jpg,640,427
218,../data/hico_20160224_det/images/train2015/HICO_train2015_00000218.jpg,574,384
219,../data/hico_20160224_det/images/train2015/HICO_train2015_00000219.jpg,640,427
228,../data/hico_20160224_det/images/train2015/HICO_train2015_00000228.jpg,460,300
230,../data/hico_20160224_det/images/train2015/HICO_train2015_00000230.jpg,640,480
233,../data/hico_20160224_det/images/train2015/HICO_train2015_00000233.jpg,480,640
234,../data/hico_20160224_det/images/train2015/HICO_train2015_00000234.jpg,640,428
241,../data/hico_20160224_det/images/train2015/HICO_train2015_00000241.jpg,479,640
242,../data/hico_20160224_det/images/train2015/HICO_train2015_00000242.jpg,640,425
252,../data/hico_20160224_det/images/train2015/HICO_train2015_00000252.jpg,640,480
256,../data/hico_20160224_det/images/train2015/HICO_train2015_00000256.jpg,640,449
259,../data/hico_20160224_det/images/train2015/HICO_train2015_00000259.jpg,640,450
261,../data/hico_20160224_det/images/train2015/HICO_train2015_00000261.jpg,640,427
262,../data/hico_20160224_det/images/train2015/HICO_train2015_00000262.jpg,640,452
278,../data/hico_20160224_det/images/train2015/HICO_train2015_00000278.jpg,640,480
281,../data/hico_20160224_det/images/train2015/HICO_train2015_00000281.jpg,640,428
284,../data/hico_20160224_det/images/train2015/HICO_train2015_00000284.jpg,480,640
286,../data/hico_20160224_det/images/train2015/HICO_train2015_00000286.jpg,640,480
289,../data/hico_20160224_det/images/train2015/HICO_train2015_00000289.jpg,640,427
292,../data/hico_20160224_det/images/train2015/HICO_train2015_00000292.jpg,640,480
295,../data/hico_20160224_det/images/train2015/HICO_train2015_00000295.jpg,457,640
297,../data/hico_20160224_det/images/train2015/HICO_train2015_00000297.jpg,640,480
306,../data/hico_20160224_det/images/train2015/HICO_train2015_00000306.jpg,640,483
309,../data/hico_20160224_det/images/train2015/HICO_train2015_00000309.jpg,640,512
311,../data/hico_20160224_det/images/train2015/HICO_train2015_00000311.jpg,430,640
316,../data/hico_20160224_det/images/train2015/HICO_train2015_00000316.jpg,481,640
318,../data/hico_20160224_det/images/train2015/HICO_train2015_00000318.jpg,640,427
326,../data/hico_20160224_det/images/train2015/HICO_train2015_00000326.jpg,480,640
